timestamp,city,latitude,longitude,temperature_c,humidity_%,wind_speed_mps,pm2_5,pm10,no2,so2,co,season,hour,day,month,pollution_source,day_of_week,pollution_index,aqi_category,pm25_rolling_avg,pm25_change
2026-02-19 12:18:04.964530,Tenali,16.243,80.64,27.72,42.0,6.03,75.53,92.18,0.7,3.13,255.19,Winter,12.0,19.0,2.0,Burning,Thursday,42.885,Moderate,75.53,
,Hyderabad,17.385,80.62,28.285,44.5,3.01,68.14,79.92,1.515,4.815,256.235,Autumn,12.0,13.0,3.0,Burning,,38.5975,Moderate,71.83500000000001,-7.390000000000001
2026-02-20 12:45:33.043377,Visakhapatnam,17.6868,83.2185,25.35,58.0,3.01,68.14,79.92,1.19,2.21,260.44,Winter,12.0,20.0,2.0,Burning,Friday,37.865,Moderate,70.60333333333334,0.0
2026-02-20 12:46:27.491013,Tenali,16.242,80.64,26.79,49.0,5.16,64.6,78.19,0.95,1.3,257.28,Winter,12.0,20.0,2.0,Burning,Friday,36.26,Moderate,66.96,-3.5400000000000063
2026-02-20 12:58:44.931142,Visakhapatnam,17.6868,83.2185,25.35,58.0,3.01,68.14,79.92,1.19,2.21,260.44,Winter,12.0,20.0,2.0,Burning,Friday,37.865,Moderate,66.96,3.5400000000000063
2026-03-02 10:24:14.404208,Hyderabad,17.385,78.4867,34.45,21.0,1.26,64.46,70.71,1.84,7.09,224.29,Spring,10.0,2.0,3.0,Burning,Monday,36.025,Moderate,65.73333333333333,-3.680000000000007
2026-03-02 10:41:59.746310,Hyderabad,17.385,78.4867,34.48,21.0,1.22,65.21,71.62,2.59,7.48,230.88,Spring,10.0,2.0,3.0,Burning,Monday,36.724999999999994,Moderate,65.93666666666667,0.75
2026-03-02 12:51:16.751996,Vijayawada,16.51,80.62,28.85,47.0,5.95,68.93,80.76,2.23,6.5,208.11,Spring,12.0,2.0,3.0,Burning,Monday,39.605,Moderate,66.2,3.720000000000013
2026-03-13 06:08:26.410386,Mumbai,19.04,72.86,30.75,41.0,2.81,89.89,117.67,3.52,18.19,391.41,Spring,6.0,13.0,3.0,Burning,Friday,57.3175,Moderate,74.67666666666666,20.959999999999994
,Hyderabad,17.385,80.62,28.85,47.0,3.01,68.14,79.92,1.19,3.13,255.19,Autumn,12.0,13.0,3.0,Burning,,38.095,Moderate,75.65333333333332,-21.75
2026-03-13 10:52:37.797542,Kochi,9.9312,76.2673,28.94,70.0,7.13,17.88,21.03,0.27,0.5,185.41,Spring,10.0,13.0,3.0,Burning,Friday,9.92,Good,58.63666666666666,-50.260000000000005
